model,dataset,inference_time,accuracy,precision,recall,f1,roc_auc,auc_pr
unigram_nb,val,0.9572370052337646,0.8404,0.8404,0.8438941850120003,0.8399935580363816,0.9261425600000001,0.9149357791678872
unigram_nb,test,4.563373804092407,0.81576,0.81576,0.8227533683447552,0.8147565436064543,0.9072519135999999,0.8904665608694357
unigram_logreg,val,0.9936702251434326,0.8862,0.8862,0.8862519740656303,0.8861961716392139,0.95245008,0.9513353322892332
unigram_logreg,test,4.504066228866577,0.8788,0.8788,0.8788019006764168,0.8787998479665293,0.9495714559999999,0.9476952316746021
unigram_svm,val,0.9435665607452393,0.8874,0.8874,0.8874943006129972,0.8873931489991851,0.0,0.0
unigram_svm,test,4.4971184730529785,0.86848,0.86848,0.8686623468852268,0.8684637349620685,0.0,0.0
unigram_proba_svc,val,47.73655724525452,0.8884,0.8884,0.8884805553279528,0.8883942143560721,0.95622304,0.9543522720214433
unigram_proba_svc,test,236.41227102279663,0.8758,0.8757999999999999,0.8758971943843221,0.8757919709942722,0.947087072,0.944277318805541
unigram_random_forest,val,1.4195051193237305,0.8454,0.8453999999999999,0.8454292371306307,0.8453967285947771,0.9231963200000001,0.9153952429784649
unigram_random_forest,test,6.6205549240112305,0.845,0.845,0.8451504767720204,0.8449831041504605,0.9241997632000001,0.9152740689085376
unigram_catboost,val,1.1129732131958008,0.862,0.862,0.8623174480552881,0.8619697658575134,0.93890656,0.9380591829538663
unigram_catboost,test,4.723808288574219,0.86452,0.86452,0.8652557032972634,0.8644517441878121,0.9410673088,0.9391256000125379
bigram_nb,val,2.3613791465759277,0.8562,0.8562000000000001,0.8645789577717262,0.8553690023546892,0.94595464,0.9418006331113761
bigram_nb,test,10.894002914428711,0.8234,0.8233999999999999,0.841041731926489,0.8210862446629419,0.9316665952000001,0.9221221364793704
bigram_logreg,val,2.318246841430664,0.8828,0.8828,0.8828245007680491,0.8827981247699963,0.9485475200000001,0.9481528682663516
bigram_logreg,test,10.573362588882446,0.87608,0.87608,0.8761070460081213,0.8760777721757571,0.9472532351999999,0.9460303377181483
bigram_svm,val,2.3488352298736572,0.8938,0.8937999999999999,0.8938958584961236,0.8937935383988762,0.0,0.0
bigram_svm,test,10.718484878540039,0.88968,0.88968,0.8896816859188459,0.8896798806777589,0.0,0.0
bigram_random_forest,val,4.8229639530181885,0.845,0.845,0.8454577176575876,0.8449486407877747,0.9226594400000001,0.9143994025725332
bigram_random_forest,test,20.9698383808136,0.84604,0.84604,0.8468100203460383,0.8459544934060911,0.9255449760000001,0.9166526244510556
raw_nb,val,0.8795797824859619,0.8404,0.8404,0.8438941850120003,0.8399935580363816,0.9261425600000001,0.9149357791678872
raw_nb,test,7.239349365234375,0.81756,0.8175600000000001,0.8240800318622719,0.8166377527331384,0.9082652000000001,0.8915288762025959
raw_logreg,val,0.9820616245269775,0.8862,0.8862,0.8862519740656303,0.8861961716392139,0.95245008,0.9513353322892332
raw_logreg,test,7.627817630767822,0.87576,0.87576,0.876386548103435,0.8757082747556223,0.9477504192000001,0.9457738960412122
raw_svm,val,0.8512637615203857,0.8874,0.8874,0.8874943006129972,0.8873931489991851,0.0,0.0
raw_svm,test,7.4741339683532715,0.86524,0.86524,0.8652677743771351,0.8652374382176055,0.0,0.0
raw_random_forest,val,1.3677544593811035,0.8468,0.8468,0.8468435080496497,0.8467951954973308,0.9227396,0.9148191113157704
raw_random_forest,test,9.02524209022522,0.84428,0.8442799999999999,0.8442852904254867,0.8442794017837499,0.9222973632,0.9136748851565282
raw_catboost,val,1.0435874462127686,0.862,0.862,0.8623174480552881,0.8619697658575134,0.93890656,0.9380591829538663
raw_catboost,test,7.467164039611816,0.85644,0.85644,0.8583433386364447,0.8562491169974843,0.9384071104,0.9363783133895052
catencoder_catboost,val,0.4288060665130615,0.8868,0.8868,0.8869092012529616,0.8867920120443699,0.9548620800000002,0.954301836522641
catencoder_catboost,test,1.70125412940979,0.87476,0.87476,0.8748902554693068,0.8747491204079965,0.9454474815999999,0.9435344629571986
